2001/07/13,12490,12490,12300,12310,259430,12310
2001/07/16,12400,12400,12250,12330,99740,12330
2001/07/17,12170,12170,12100,12120,93150,12120
2001/07/18,12150,12150,11830,11840,165330,11840
2001/07/19,11990,11990,11860,11920,620220,11920
2001/07/23,11950,11950,11540,11570,170700,11570
2001/07/24,11560,11860,11560,11840,173370,11840
2001/07/25,11750,12020,11750,11860,207180,11860
2001/07/26,11940,11960,11810,11830,396780,11830
2001/07/27,11790,11940,11690,11820,1801620,11820
2001/07/30,11900,11900,11540,11580,311850,11580
2001/07/31,11670,11870,11660,11850,183190,11850
2001/08/01,11950,12000,11810,12000,310730,12000
2001/08/02,12120,12420,12120,12390,640190,12390
2001/08/03,12360,12360,12230,12240,299960,12240
2001/08/06,12160,12320,12100,12280,204600,12280
2001/08/07,12110,12390,12060,12290,238960,12290
2001/08/08,12270,12290,12130,12150,243030,12150
2001/08/09,12000,12020,11740,11740,284070,11740
2001/08/10,11840,11860,11720,11750,294380,11750
2001/08/13,11670,11670,11420,11520,249010,11520
2001/08/14,11630,11950,11600,11950,191560,11950
2001/08/15,11840,11840,11650,11730,217690,11730
2001/08/16,11550,11590,11450,11520,187770,11520
2001/08/17,11580,11580,11420,11430,156940,11430
2001/08/20,11300,11400,11220,11260,157780,11260
2001/08/21,11350,11440,11160,11320,91630,11320
2001/08/22,11200,11500,11190,11400,145190,11400
2001/08/23,11430,11430,11120,11140,190500,11140
2001/08/24,11200,11250,11090,11190,120990,11190
2001/08/27,11390,11390,11210,11210,93240,11210
2001/08/28,11230,11260,11070,11220,186560,11220
2001/08/29,11180,11180,10970,10990,206280,10990
2001/08/30,10940,10980,10810,10910,164410,10910
2001/08/31,10740,10860,10670,10700,112400,10700
2001/09/03,10740,10760,10370,10390,152860,10390
2001/09/04,10430,10760,10340,10760,189950,10760
2001/09/05,10620,10650,10460,10620,94970,10620
2001/09/06,10570,10810,10520,10630,151730,10630
2001/09/07,10450,10580,10410,10510,179830,10510
2001/09/10,10330,10460,10180,10200,161860,10200
2001/09/11,10240,10360,10200,10340,151350,10340
2001/09/12,9500,9800,9340,9340,442400,9340
2001/09/13,9630,9690,9470,9640,261690,9640
2001/09/14,9660,10050,9580,9970,171390,9970
2001/09/17,9600,9650,9450,9490,311850,9490
2001/09/18,9790,9950,9650,9750,241160,9750
2001/09/19,9720,10060,9710,9970,185070,9970
2001/09/20,9800,9850,9680,9770,216850,9770
2001/09/21,9470,9590,9390,9560,278060,9560
2001/09/25,9930,9930,9610,9720,169450,9720
2001/09/26,9620,9730,9580,9640,100750,9640
2001/09/27,9610,9750,9590,9710,132000,9710
2001/09/28,9870,9950,9670,9670,192010,9670
2001/10/01,9770,10020,9620,10020,231060,10020
2001/10/02,9940,10190,9880,10180,177630,10180
2001/10/03,10210,10240,9920,9950,180960,9950
2001/10/04,10240,10250,10080,10210,251170,10210
2001/10/05,10210,10290,10060,10250,174350,10250
2001/10/09,10110,10150,10000,10000,155620,10000
2001/10/10,9980,10060,9950,9980,89050,9980
